,index,message,label
12,13,following close schedule coming month year end please keep mind following key times unify sitara bridge back p thursday dec th errors must clear time mass draft p thursday evening dec th accrual process begins friday morning dec st group impacts accrual please ensure necessary people available support needed enron holiday please feel free contact questions thank melissa x,1
13,14,aimee sitara deal meter expired oct settlements unable draft invoice deal deal either needs extended new deal needs set please let know resolved need resolved friday dec hc,1
14,15,daren could please resolve issue howard office next two days done please let george know thanks aimee forwarded aimee lannou hou ect pm howard b camp pm aimee lannou hou ect ect cc daren j farmer hou ect ect stacey neuweiler hou ect ect mary smith hou ect ect subject meter nov aimee sitara deal meter expired oct settlements unable draft invoice deal deal either needs extended new deal needs set please let know resolved need resolved friday dec hc,1
15,16,name home pager george grant charlotte hawkins aimee lannou robert lloyd stella morris susan trevino kim vaughn jackie young carlos rodriguez mandy allen,1
16,17,latest understanding buyback place new deal day begins currently buyback provision ken howard b camp pm gary w lamphier hou ect ect cc kenneth seaman hou ect ect kristen j hanson hou ect ect tina valadez hou ect ect howard b camp hou ect ect subject lyondell citgo gary notified possibility buyback effective lyondell citgo could please inform via cc mail status buyback reviewed hc,1
17,18,fyi forwarded gregg lenart hou ect pm enron north america corp sally shuler enron pm gregg lenart hou ect ect cc subject hpl fuel gas buy back december forwarded sally shuler gpgfin enron pm michael mitcham pm james prentice gpgfin enron enron kerry roper gpgfin enron enron sally shuler gpgfin enron enron mark diedrich gpgfin enron enron paul fox ecf enron enron cc subject hpl fuel gas buy back december egp fuels fuels co sold back mmbtu day starting hpl mmbtu anyone questions please let know thanks,1
18,19,daren need help resolving issue deal oss reference meter could find anything cpr contract shows representing sale amount thanks stella,1
19,20,daren deal cpr oss please enter deal sale contract mmbtu thanks stella,1
20,21,daren hplc purchasing gas following list producers production currently purchased spot basis deal tickets entered sitara follow counterparty meter mmbtu price engage energy us lp less engage energy us lp less engage energy us lp less engage energy us lp less gasper rice resources ltd less prize resources less prize resources less prize resources less prize resources less swift energy less whiting petroleum additionally asked carlos search sitara would essentially spot ticket incremental volumes delivered meter cage ranch production month november received executed paper coastal documenting purchase price gas daily less gpm sliding scale please confirm whether sitara ticket generated please use e mail request thanks vlt x,1
21,22,forwarded ami chokshi corp enron pm dscottl com ami chokshi corp enron enron cc subject pennzenergy property details ami attached details devon south texas properties let know questions david devon stx xls,1
22,23,forwarded ami chokshi corp enron pm dscottl com pm ami chokshi corp enron enron cc subject miscellaneous sorry getting back answers questions waskom field east texas harrison county purchase gas pennzenergy bryson c p jeter wells gas termed new waskom gas gathering nwgg june term pennzenergy purchase buy gas back nwgg tetco east texas pool also termed virginia field used associated ngpl several years ago pennzenergy worked processing arrangement corpus christi gas gathering gas termed ccgm priced houston ship channel jennings ranch used flow ngpl gathering line couple years ago ngpl sold line midcon texas handle another midcon texas property sometimes sell meter midcon texas kn sometimes ship midcon ngpl south texas pool carthage altra picks gas cartwheel agreement agreement nominate also cartwheel agreement much different hub agreement except allows title tracking tgt whiteboard refers texas gas east ohio takes gas texas gas couple different transport contracts let know questions david,1
23,24,fyi think forwarded brenda f herod hou ect dave nommensen pm scotty gilbert hou ect ect cc george smith hou ect ect edward terry hou ect ect katherine l kelly hou ect ect bryce baxter hou ect ect randall l gay hou ect ect brenda f herod hou ect ect richard pinion hou ect ect subject purge old contract event status clarify relative age production date age event n george smith edward terry hou ect ect katherine l kelly hou ect ect bryce baxter hou ect ect randall l gay hou ect ect brenda f herod hou ect ect cc richard pinion hou ect ect dave nommensen hou ect ect subject purge old contract event status see problem limiting current month current month need know soon scotty dave nommensen pm scotty gilbert hou ect ect richard pinion hou ect ect cc trisha luong hou ect ect benedicta tung hou ect ect diane e niestrath hou ect ect dave mcmullan hou ect ect subject purge old contract event status scotty richard dbas would like see reduce qty rows contract event status gig data table would like suggest nightly weekly monthly process delete row last mod date month two old someone balances february month keep around month two one else desire keep data shorter longer period time audit table log every nom track balance edi send fax send sched qty quick response since beginning time n,1
24,25,fyi office actually country starting nd dec th jan back office st jan absence please contact following persons pops support questions problems christine pham ext shawn macphail ext pops support pager pages oncall personell pops support cellular oncall person carries cell phone great holiday season romeo souza,1
25,26,sorry discuss bmc lee confirm accuracy bmc bought us intended swing buyback brandywine dorcheus controlled meter therefore responsibility make overs unders believe deal place brandywine cover issue november please let know lee understanding nov business please let us know thanks ken howard b camp pm lee l papayoti hou ect ect cc thu nguyen hou ect ect kenneth seaman hou ect ect howard b camp hou ect ect kristen j hanson hou ect ect stella l morris hou ect ect julie meyers hou ect ect subject meter oct beaumont methanol lee need answer questions resolve issue first show deal volume nov pipeline confirmed volume volume agreed sell beaumont methanol volume agreement deal ticket says volume confirmed hpl dorcheus volume second buyback issue buyback set june per julie meyers notes sends every month last note sent dec distribution list brandywine nothing issue issue hpl beaumont methanol active buyback place decide use buyback commercial issue need clarification buyback place please notify julie note deal ticket buyback longer effective still active please contact chyral resolve let know final resolution hc forwarded howard b camp hou ect pm thu nguyen pm howard b camp hou ect ect cc subject meter oct beaumont methanol forwarded thu nguyen hou ect pm lee l papayoti pm thu nguyen hou ect ect cc stella l morris hou ect ect kristen j hanson hou ect ect subject meter oct beaumont methanol data front position call bob dorcheus please call directly issue brandywine beaumont methanol please reference fax chyral hankins beaumont methanol call bob dorcheus also chryal tells problem november invoice shows us buying gas back beaumont methanol three days something surprise allocation issue beaumont methanol brandywine please call chyral calling bob dorcheus thanks thu nguyen pm lee l papayoti hou ect ect cc stella l morris hou ect ect kristen j hanson hou ect ect subject meter oct beaumont methanol lee stella tells nom day could please get back dorcheus find discrecpancy noms thanks thu forwarded thu nguyen hou ect pm thu nguyen stella l morris hou ect ect cc lee l papayoti hou ect ect subject meter oct beaumont methanol stella could please verify confirmations beaumont methanol oct prod discrepancy day confirmed nom show zero send fax copy chyral hankins please let know thanks thu,1
26,27,gtc firm expire contract julie daren j farmer pm julie meyers hou ect ect cc subject evergreen deals vintage julie meyers pm daren j farmer hou ect ect cc subject evergreen deals look comments julie daren j farmer pm julie meyers hou ect ect cc subject evergreen deals julie need know following deals evergreen provisions roll jan cokinos gtc firm contract deal expires contract cokinos gtc spot coral single transaction contract would need check trader encina yes committed reserve marked evergreen flag midcoast gtc lst purchaser deal expires contract united deal moved wellhead portfolio january deal terminated per legal vintage right deal number thanks,1
27,28,look comments julie daren j farmer pm julie meyers hou ect ect cc subject evergreen deals julie need know following deals evergreen provisions roll jan cokinos gtc firm contract deal expires contract cokinos gtc spot coral single transaction contract would need check trader encina yes committed reserve marked evergreen flag midcoast gtc lst purchaser deal expires contract united deal moved wellhead portfolio january deal terminated per legal vintage right deal number thanks,1
28,29,darren following potential new wellhead volume january currently aware included production estimate number given vance eog hortense polk county new meter mmbtu day brayton operating brayton drushell jackson county possibly new meter meter mmbtu day let know questions susan x,1
29,30,daren carlos receive customer nominations therefore attached file changed provided carlos last week please let know questions thanks scs x forwarded susan smith hou ect vance l taylor pm susan smith hou ect ect cc melissa graves hou ect ect subject january production estimate susan please see attached file january production estimate pretty much final estimate except calls costilla walter superior said would fax nom complete hopefully monday traders reviewed estimate made changes feel pretty confident good number however receive noms monday noon please update file send carlos daren thanks merry christmas vlt x,1
30,31,forwarded ami chokshi corp enron pm dscottl com pm ami chokshi corp enron enron cc subject pennzoil avails january devon south texas volumes may notice different december reviewed list january numbers david devon stx xls,1
31,32,understanding outages valero incurred locations force majure situations december trigger buyback feature contract gary seen documentation valero please follow counterpart secure letter notice need process deal buyback active thanks ken,1
32,33,daren sorry forgot include forwarded kimberly vaughn hou ect pm kimberly vaughn pm janet h wallis hou ect ect cc howard b camp hou ect ect subject hl p janet back vacation updated hl p flow mtd jill told th th th san jac nom correct need change sitara scada problems meter gas control given verbal th monitor scada adjust necessary let know anything else thanks,1
33,34,wanted update phillips deals counterparty saying booked wrong left gary l voice mail feeling hearing might getting answer next week deals deals hear gary let know hoping ok julie,1
34,35,one resolved still needs done robert volume management need involved november robert take care dec need input let know thanks ken kimberly vaughn pm kenneth seaman hou ect ect cc subject meter vacation week sent note wondering anyone helped resolve need help forwarded kimberly vaughn hou ect pm kenneth seaman pm kimberly vaughn hou ect ect cc subject meter think know asking sure mean kimberly vaughn pm kenneth seaman hou ect ect cc subject meter ken anyone need anthing forwarded kimberly vaughn hou ect pm kenneth seaman pm howard b camp hou ect ect kimberly vaughn hou ect ect robert e lloyd hou ect ect cc subject meter november volume applied deal fact volume please effect change asap insure december set deal terminated end october thanks ken,1
35,36,del meter flow maxey walters field guy informed rec call mktg people asking flow gas two days due problems ocurring phillips two days please look see provide k assess business thanks rec meter flow every day month k last month k sitara start date deal stop date sitara start stop date expected vols look tell expected vols different thanks jackie,1
36,37,enron methanol company nominates following requirements methanol plant january mmbtu per day egpfc nominates following requirements mtbe plant morgan point january mmbtu per day mmbtu per day mmbtu per day,1
37,38,hhere questions david already sent anything else forwarded ami chokshi corp enron pm enron north america corp ami chokshi pm dscottl com cc subject misc questions questions agua dulce pipe gp plant go go hpl nom forms plant nominations may need gemc tejas plant thompsonville know points tie hpl avails mops production gas transported tivoli contract use kerr mcgee entex contacts speak waskom nom form speak avails sheet sent first row column titles blacked tell row reads volumes come koch gathering carthage next month show conflicting numbers thanks ami forwarded ami chokshi corp enron pm enron north america corp ami chokshi pm dscottl com cc subject questions carthage deliveries koch whiteboard volumes termed midcon texas usually sell supply marketing affiliate correct gas termed sell month month gas entex tomcat sold base swing change volume occasionally anadarko given avails jan thanks ami,1
38,39,hey joe response got regards tomcat place another call david let know information received included points except tomcat keep informed know gas sourced mi moved km firm contract long ces remembers sell gas entex entex chooses pipe take usually midcon also hpl channel tejas km invoiced directly volume approx deal entex written monthly km pays basket indices entex pays highest index ami forwarded ami chokshi corp enron dscottl com ami chokshi corp enron enron cc subject response got risk desk structuring group already provided information probably need check guess would tetco stx tomcat gas belongs david,1
39,40,pipeline contact phone fax pager black marlin blair lichentwalter h debbie thompson noms due today rd th channel jim tobacco gas control open thursday noms due monday centana william spekels donna spencer gas control noms due today rd th duke energy annette anderson call bob moseman thursday open tomorrow noms due thru th lonestar gary gafford gas control noms due today rd thru th northern natural ben markey cell call charlie mosey gas control open thursday noms due thru th east trans east texas tejas gas control paula svehla mickey chapman open thursday noms due thru th midcon k ken nachlinger call steven k gas control noms due today rd thru th moss bluff current business,1
40,41,pursuant recent confirmation drafted suggested language houston ship channel pooling point abbreviation hpl hsc sort code tbd description transaction delivery via houston pipe line company houston ship channel zone elsa darren please approve offer comments regarding content description,1
41,42,office beginning thursday returning tuesday absence asked steve venturatos point person texas operations realize many working new year week end ensure smooth transaction new year advance truly appreciate efforts additionally would like kept informed critical issues mainly surprises return therefore provided numbers reached leave discretion whether call leave voice mail office know would rather informed surprised pager cellular home thanks dedication hope wonderful safe holiday,1
42,43,forwarded ami chokshi corp enron dscottl com pm ami chokshi corp enron enron cc subject misc questions questions agua dulce pipe gp plant go go hpl nom forms plant nominations may need gemc tejas plant thompsonville know points tie hpl avails mops production gas transported tivoli contract use kerr mcgee entex contacts speak waskom nom form speak avails sheet sent first row column titles blacked tell row reads volumes come koch gathering carthage next month show conflicting numbers thanks ami goes know tennessee hpl tejas tailgate plant suspect midcon texas well fax copy nomination form steve locke uses agua dulce carthage ones texas nominate tejas plant well gulf energy receipt points pennzenergy exclusively tejas gulf energy points takes transport charges move gas gulf energy interconnects thompsonville jennings plant split connect delhi operationally pennzenergy much prefers flow gulf energy lower pressure higher volumes mustang island january mmbtu peoples pick wellhead mustang island leaves available sell assuming continue transport fgt tivoli peoples agreement nng move gas wellhead onshore tomcat gas sold entex midcon texas long think maria even talks anymore month tammi provides volume deal month certainly provide entex contact gas sold january waskom nomination form trader gas mike landolt talks ben britten president new waskom gas gathering waskom gas marketing must referring page offshore avails begins sabine pass columns appear blacked read follows pvr pvr avail dbq dbq remainder koch gathered volumes behind carthage plant mmbtu david forwarded ami chokshi corp enron dscottl com pm ami chokshi corp enron enron cc subject questions carthage deliveries koch whiteboard volumes termed midcon texas usually sell supply marketing affiliate correct gas termed sell month month gas entex tomcat sold base swing change volume occasionally anadarko given avails jan round carthage koch estimate anticipate want sell koch shows koch whiteboard supply carthage bidweek traders decide much actually want show going koch much labeled base swing mike landolt sole koch trader typically takes carthage gas koch say particular volume termed rarely shippling jennings ranch volume ngpl always sold midcon texas volumes affiliate currently done one month time john hymel trader volumes entex sale tomcat always gas daily way kerr mcgee prices supply entex taken swings january volume david p still know schedule wednesday everyone asked work transition meeting individually management wednesday schedules provided yet soon know let know understand make lunch arrangements,1
43,44,forwarded ami chokshi corp enron royal b edmondson reliantenergy com ami chokshi corp enron enron cc subject rd noms could ever mad someone nice real busy see attached file hpldecl xls hpldecl xls,1
44,45,sure forwarded ami chokshi corp enron royal b edmondson reliantenergy com pm ami chokshi corp enron enron cc subject best guess right go little soon sure see attached file hpl jan xls hpl jan xls,1
45,46,huntsville woodlands conroe days big ticket days days forwarded ami chokshi corp enron enron north america corp ami chokshi david baumbach hou ect ect daren j farmer hou ect ect cc subject entex increase rom huntsville woodlands conroe days big ticket days ami,1
46,47,huntsville woodlands conroe days big ticket days ami,1
47,48,forwarded ami chokshi corp enron pm faye ellis ect pm ami chokshi corp enron enron cc subject counties meter types gemc midcon tx fyi online notification go back stacy since submitted requests therefore sending following gulf energy meters meter facility type flow direction description pool e mcfaddin pool tejas plant pool trevino plant pool garza plant pool haynes plant pool comitas south pdc receipt jennings plant midcon texas meters meter facility type flow direction description pool jennings ranch pdc receipt greta roc gpo receipt hall plant faye ami chokshi enron faye ellis hou ect ect cc subject counties meter types gemc midcon tx gulf energy counties gulf energy meters zapata county midcon tx hall plant jennings zapata county greta tom connor refugio county,1
48,49,forwarded ami chokshi corp enron enron north america corp ami chokshi daren j farmer hou ect ect bryan hull hou ect ect neal winfree hou ect ect cc subject jan net position,1
49,50,mornings morning meeting understanding gas mcmullen humble king ranch lowered due line pigging next days please keep mind interstate sales king ranch may want notify traders much supply king ranch meet sales estimates sales supply th total interstate sales king ranch gas plant mmbtu total supply less pvr cage ranch forest oil laencantada big cowboy three rivers current total supply sale th mmbtu supply volumes based supply deals unify system variances operationally sitara supply deals lowered appropriately,1
50,51,see attached file hpll xls hpll xls,1
51,52,ed elsa suggested language based upon conversation please review offer comments fyi new trade components e delivery location require review legal david forster marcello romano approval transaction delivery pool gas via houston pipe line company scheduled counterparty either houston ship channel zone meter ii houston ship channel zone one following points brandywine meter destec enerfin meter dupont meter equistar meter ethyl albemarle meter exxon meter georgia gulf corp meter phibro energy inc valero ref meter shell east meter occidental battleground meter igs dodge street meter millennium petro polymer meter dale forwarded dale neuner hou ect pm dale neuner elsa villarreal hou ect ect daren j farmer hou ect ect elizabeth l hernandez hou ect ect cc jennifer deboisblanc denny hou ect ect marcello romano lon ect ect david forster lon ect ect subject new nat gas delivery location pursuant recent confirmation drafted suggested language houston ship channel pooling point abbreviation hpl hsc sort code tbd description transaction delivery via houston pipe line company houston ship channel zone elsa darren please approve offer comments regarding content description,1
52,53,howard meter indicates daily swing one volume management initials oss need information daren determined deal set cover contract forward done research follows shows delivery transport contract southeastern marketing co counterparty thru shows delivery transport contract esperanza marketing corp counterparty thru shows delivery shows delivery transactions meter since questions need answered volume allocated transport contracts started allocated contract later transport contracts longer valid allocate reason contract used transport contract allocated instead contract forward item indicates delivered volume either transport sale taking place information supplied ua report need contract mmbtu since meter assigned someone else timeframe assigned difficult know contract ever used allocation since records deal tickets cpr oss need help stella daren j farmer stella l morris hou ect ect cc subject ua meter falfurrias occurred point prior months allocated volume stella l morris pm daren j farmer hou ect ect cc mary smith hou ect ect howard b camp hou ect ect subject ua meter falfurrias daren need help resolving issue deal oss reference meter could find anything cpr contract shows representing sale amount thanks stella,1
53,54,unix server unify production runs proton went morning unix team working let know soon unify available n,1
54,55,calpine monthly gas nomination doc,1
55,56,forwarded ami chokshi corp enron troy benoit reliantenergy com ami chokshi corp enron enron cc subject jan noms see attached file egmnom jan xls egmnom jan xls,1
56,57,according measurement flow however nothing indicate gas received hpl oss checked mips measurement statement supports flow rate mmbtu daren deal cpr may fed oss thanks stella,1
57,58,revision according measurement flow however nothing indicate gas received hpl oss checked mips measurement statement supports flow rate mmbtu daren deal cpr may fed oss checked oss whole year deals oss seem strange month flow thanks stella,1
58,59,details deal entered jan buy sell buy ctpty aquila energy marketing corporation zone agua dulce volume pricing hsc period deal second part sitara deal please let know questions concerns dave,1
59,60,new pooling point handled robert lloyd jackie young backup please call either updates thanks pat,1
60,61,proton machine unify production available patient path manager highlight eol deals yellow thanks n,1
61,62,stacey looks like missing paths revealed quirk suppression zero paths paths initially entered zero changed non zero later date system correctly determine zero path longer suppressed fixed paths affected corrected code happen screen print nov problem fixed thanks n,1
62,63,gary status hc forwarded howard b camp hou ect kenneth seaman pm gary w lamphier hou ect ect howard b camp hou ect ect joanie h ngo hou ect ect robert e lloyd hou ect ect cc daren j farmer hou ect ect subject valero understanding outages valero incurred locations force majure situations december trigger buyback feature contract gary seen documentation valero please follow counterpart secure letter notice need process deal buyback active thanks ken,1
63,64,teco tap enron,1
64,65,see attached file hpll xls hpll xls,1
65,66,daren error transco bammel day days change volumes sent back volumes thanks charlotte ps clear noon tomorrow,1
66,67,janet attached recent numbers,1
67,68,aimee gas control line work scheduled affect referenced point dynegy nom point assuming want baseload january desk also appears gas nom approx mm rather cut volumes would try negotiate koch flow gas outage make soon outage may able begin flow please let know soon possible thanks,1
68,69,think forgot list forwarded lauri allen hou ect pm enron north america corp gary hanks pm connie sutton hou ect ect lauri allen hou ect ect pat clynes corp enron enron melissa graves hou ect ect mary solmonson hou ect ect james mckay hou ect ect cc earl tisdale hou ect ect gary besancon gco enron enron rodney rogers gco enron enron shawna flynn hou ect ect subject producer shut list victoria line work hpl completing tie ins replace guadalupe river crossing swinney victoria following meters shut approximately january brought back line sometime evening january marks common point swickheimer cologne battle fld coletto creek mokeen swickheimer duty apache freeman talber graham sheridan energy hughes hughes pentex esperanza new horizons dynamic bnp petroleum hilcorp spindletop southern gas strand energy edge petroleum vintage petro corporation duke three rivers gas plant c e berclair c lucas southern resources mider delhi sarco question please feel free call thanks gary,1
69,70,fyi forwarded gary hanks hou ect pm enron north america corp melissa graves pm george weissman hou ect ect cc gary hanks hou ect ect mary jo johnson hou ect ect gary bryan hou ect ect jill zivley hou ect ect subject producer shut list victoria line work george gary called shut situation minutes ago specifically regarding meter meter tailgate three rivers therefore hpl field employee able contact producer probably idea gas coming goes meter gary suggested deal maker contact producers verbally connie sutton follow written notice per discussion since mary jo gary afternoon forwarding message concerned contracts cody texas lp samson lone star let know information provide thank melissa forwarded melissa graves hou ect pm enron north america corp gary hanks pm connie sutton hou ect ect lauri allen hou ect ect pat clynes corp enron enron melissa graves hou ect ect mary solmonson hou ect ect james mckay hou ect ect cc earl tisdale hou ect ect gary besancon gco enron enron rodney rogers gco enron enron shawna flynn hou ect ect subject producer shut list victoria line work hpl completing tie ins replace guadalupe river crossing swinney victoria following meters shut approximately january brought back line sometime evening january marks common point swickheimer cologne battle fld coletto creek mokeen swickheimer duty apache freeman talber graham sheridan energy hughes hughes pentex esperanza new horizons dynamic bnp petroleum hilcorp spindletop southern gas strand energy edge petroleum vintage petro corporation duke three rivers gas plant c e berclair c lucas southern resources mider delhi sarco question please feel free call thanks gary,1
70,71,aimee please let us know soon possible thanks pat lauri allen ect pm aimee lannou hou ect ect cc pat clynes corp enron enron daren j farmer hou ect ect subject koch three rivers aimee gas control line work scheduled affect referenced point dynegy nom point assuming want baseload january desk also appears gas nom approx mm rather cut volumes would try negotiate koch flow gas outage make soon outage may able begin flow please let know soon possible thanks,1
71,72,ami need make sure nom even always send conroe sitara deal every month entex volume every month nov nom set hc,1
72,73,daren elsa delivered transco txu cut pipeline capacity constraints transco gas control left message late yesterday evening picked morning questions call charlotte,1
73,74,spoke larry zamit morning regarding outage january agreed hold gas us batch throughout rest january point nominated agreed hold questions give call charlotte aimee,1
74,75,please establish spot ticket united oil minerals inc meter january ticket priced hsc less provide mmbtu spot deal executed globla contract please call additional assistance thanks donald x,1
75,76,wanted extend thanks advance join office january appreciate willingness devote part holiday weekend continuing success story enron company enron spent much time effort ensure business continue smoothly move year ken walther working many done excellent job preparing work plan january work first final step process efforts day allow ena employees return office january th confidence ability continue business usual wish one happy new year continually feel privileged work dedicated talented group employees look forward accomplish,1
76,77,outage scheduled effect throught need duke hold gas back gary forwarded gary hanks hou ect charlotte hawkins pat clynes corp enron enron lauri allen hou ect ect daren j farmer hou ect ect elsa villarreal hou ect ect edward gottlob hou ect ect cc aimee lannou hou ect ect gary hanks hou ect ect subject koch three rivers spoke larry zamit morning regarding outage january agreed hold gas us batch throughout rest january point nominated agreed hold questions give call charlotte aimee,1
77,78,cellular phone number questions weekend holiday hesitate give call thanks,1
78,79,think everyone agrees lot confusion desk assignments responsibilities said listing current issues seen need addressed quickly issues none business since see unpathed gas thought two might want dicsuss issues enron field services nominated since september stopped business pipe fyi need get assigned find old notes try get pathed necessary someone needs let know lavaca expense transport offsystem gas hplc transports ena ena nom meter pops jan midcon texas pipeline deals left unpathed jan dec brokered nominated obvious seem transport contract move gas sale broker stands looks like long position assigned thought carlos handling one could wrong channel industries pipeline several issues deals exception long term transport expense left unpathed jan viewed prior month transactions pathed appropriately someone needs review accuracy also deals went zero nominated january still enough supply meet sales requirement issue left unsresolved since october volume management cannot allocate pathed nominated transaction january point specific transport contracts rec mtr del mtr pathed pipeline rate need know rate whether one expense contracts needs amended transaction legally covered carlos handling pipe dec assigned jan hpl operational shipper hpl left unpathed december january assigned wait get back next week left unresolved get pathed return pat following recollection assignments dec present might want confirm mary smith proceed decisions need made based possible unassigned issues hank eisenhours duties split mandey handle long term hplc expense issues undeveloped contracts december flow forward cleanup unresolved issues carlos offsystem transactions ena hplc unify offsystem paper electronic noms intrastate pipes ami stacey also handle lot confusion found unpathed gas december need address one quickly hpl transports split zone logistics rep responsible pathing meters assigned zones unify hpl operational seems left unassigned think desk assumed carlos took hanks responsibilities assignments recollection,1
